Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Dianthus (Carnation; Pink; Sweet William),"<p>Dianthus, also known as Carnation, is a genus of the <strong>Caryophyllaceae family</strong> mostly native to Europe and Asia. It contains <strong>about 300 species</strong> of annuals, perennials and subshrubs.<br/>
Most species have simple, narrow leaves and abundant flowers that come in many shapes and colors. Carnations are often spicily fragrant and long blooming, making them perfect for bouquets and gardens. They are valued for their beauty, charm, clove-like scent and long-lasting freshness.</p>","Annuals, Perennials, Shrubs","The flowers come in shades of red, pink, purple and white or combinations of these colours. Cultivated species are available in a wider range of colors.",5-9,"Spring, Autumn, Summer",Their height range from just 10 cm to 90 cm (4 inches to 3 ft).,Carnation prefers rich and well drained soil. The ideal soil pH is somewhere between 6.0 and 7.5.,"Full sun, Partial sun",avarage,low
Diascia (Twinspur),"<p>Diascia is a genus of <strong>about 70 species</strong> in the <strong>family Scrophulariaceae</strong>, native to southern Africa.<br/>
Diascia produces small, dark green leaves and small, but profuse flowers. The colorful, shell-like flowers are borne in loose clusters from spring to autumn. They are tubular and lipped, each with two spurs on the rear of the flower. Diascia is an extremely popular ornamental plant worldwide. It is great for rockeries, containers, and borders.</p>","Annuals, Perennials","The flowers come in shades of pink, purple, orange, and white, each with a contrasting yellow throat.",7-11,"Spring, Autumn, Summer",The plant grows between 30 cm (1 ft) and 60 cm (2 ft) in height.,"Diascia grows best in soil that is fertile, moist, well drained and slightly acidic, with a pH range of 5.5 to 6.5.","Full sun, Partial sun",avarage,low
Dicentra (Bleeding Heart),"<p>Dicentra, commonly known as “Bleeding Heart”, is a genus of <strong>about 10 species</strong> of herbaceous plants in the <strong>family Papaveraceae</strong>, native to Asia and North America.<br/>
Their outstanding characteristic is the shape of the flowers. Dicentra bears heart-shaped flowers hanging down in a row from arching stems, from which a little “drop of blood” dangles at the bottom, giving the plant a spectacular appearance. They bloom in spring and early summer and dies back to the ground as the heat of summer arrives.</p>",Perennials,"The flowers are usually red, pink and white.",2-9,"Spring, Summer",Dicentra can reach up to 90 cm (3 ft) in height.,"Dicentra prefers moist, but well drained soil. The soil should be organic and slightly acidic.","Partial sun, Shade",avarage,low
Dietes (Dietes),"<p>Dietes is a genus of <strong>6 species</strong> of rhizomatous plants in the <strong>family Iridaceae</strong>, native to southern and central Africa, with the exception of one species, the Dietes robinsoniana, which is endemic to Lord Howe Island off the coast of Australia.<br/>
Dietes produces narrow, sword-like foliage and large iris-like flowers on tall wiry stems. It is a versatile plant that can be used for borders, water gardens and mass plantings.</p>",Perennials,"The flowers are white to creamy yellow in color, with brown, yellow and purple markings on the tepals.",8-11,"Spring, Autumn, Winter, Summer",This plant grows up to 150 cm (5 ft) tall.,"They are not fussy about soil type, but will perform best in rich, moist and well drained soil.","Full sun, Partial sun",avarage,low
Digitalis (Foxglove),"<p>Digitalis, commonly known as Foxglove, is a genus of <strong>about 25 species</strong> of herbaceous plants in the <strong>family Plantaginaceae</strong>, native to Europe, Asia and northwestern Africa.<br/>
This eye-catching, dramatic plant bears cluster of tall, pendulous tubular or bell-shaped flowers. Attractive and distinct, Foxgloves are easily recognizable wild flowers widely known for their toxicity, as well as medical properties.</p>",Perennials,"These flowers appear in shades of white, yellow, pink, red and purple.",4-9,"Spring, Summer","Foxgloves are tall beauties which can grow up to 180 cm (6 ft), depending on variety.","The plant grows best in moist and well drained soil, with a pH between 6 and 7.5.","Full sun, Partial sun, Shade",avarage,low
Dracula (Monkey Orchid),"<p>Dracula is a genus of <strong>more than 100 species</strong> of flowering plants in the <strong>family Orchidaceae</strong>, native to Central America and part of South America.<br/>
The species in this genus are quite diverse, but the most popular are those which resemble monkeys. These unusual, showy flowers are one of the most amazing orchids you’ve ever seen. Mother Nature is so creative!</p>",Perennials,"These flowers come in various colors, such as red, purple, lavender, yellow and white. They range from nearly black to white.",9-11,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Dracula requires moist, well-drained soil and high humidity. The recommended soil pH is 5.5 to 7.0, depending on species.",Partial sun,avarage,medium
Dryas (Mountain Avens; Holtasoley),"<p>Dryas is a small genus of <strong>6 species</strong> of flowering plants in the<strong> family Rosaceae</strong>, with the common name Mountain Avens.<br/>
The species are native to the alpine and arctic areas of Europe, North America and Asia. However, these ground-hugging perennials will grow almost anywhere and can be found as far north as there is land! This charming little plant has saucer-shaped flowers with eight to ten petals on naked stalks. Dryas is ideal for rock gardens or for planting in cracks between paving or walls.</p>","Perennials, Shrubs","These flowers are usually white or cream, with yellow centre.",3-9,"Spring, Summer","Dryas is a small plant, growing only 20 cm (8 inches) in height.","The plant can grow in many different soil types and pH levels, but requires good drainage.","Full sun, Partial sun",avarage,medium
Echeveria (Hen and Chicks),"<p align=""justify"" style=""text-align: left;"">Echeveria is a genus of succulents in the <strong>Crassulaceae family</strong>, native to Central America. It includes <strong>over a hundred species</strong> of succulent plants.<br/>
Echeveria is popular mostly because of its attractive rosettes of fleshy, brightly colored leaves. When it blooms it produces beautiful, bell-shaped flowers on a tall arching stalk.</p>",Cactus - Succulents,Echeveria has beautiful leaves and stunning flowers in a large variety of colors.,9-11,"Spring, Autumn, Winter, Summer",The species can grow from 10 cm to 60 cm (4 inches to 2 ft) high.,"Echeverias grow best in well drained soil, with a slightly acidic pH.","Full sun, Partial sun",low,low
Echinacea (Coneflower),"<p>Echinacea is a genus of <strong>about 10 species</strong> in the <strong>family Asteraceae</strong>, native to North America.<br/>
Echinacea, commonly called Coneflower, has attractive and colorful daisy-like flowers, with cone-shaped central disc surrounded by a ring of petal-like rays. It has lance-shaped or oval-shaped dark green leaves and tall, slender, hairy stem that can reach up to 120 cm (4 ft) in height. These perennials are easy to maintain once you know the secrets to meeting their needs. They are heat and drought tolerant and will attract birds and pollinators in your garden.</p>",Perennials,"These flowers come in shades of white, yellow, orange, pink, purple, red and brown, depending on variety. The most common are the purple ones.",3-10,Summer,Coneflowers will grow between 30 cm (1 ft) and 120 cm (4 ft) tall.,"Echinacea likes medium moisture and well drained soil, with a pH between 6.0 and 7.0. In the wild, they usually grow in poor and rocky soil and can tolerate more alkaline conditions.","Full sun, Partial sun",low,low
Echinops (Globe Thistle),"<p>Echinops is a genus that contains <strong>about 150 species</strong> of flowering plants native to Europe, Asia and northern Africa. The genus belongs to the <strong>Asteraceae family</strong>, one of the largest plant families.<br/>
Echinops are well known and recognizable for their globular crown of deep blue flowers and spiny, woolly foliage that is often gray-green. It is useful ground-cover plant, an excellent cut flower and a good choice for the border, capable of attracting any pollinators around.</p>",Perennials,"The flowers are mostly blue, but you can also find them in white, purple and blue-grey. Their long stems are gray-green in color.",3-9,Summer,"The plant can grow from 50 cm to 1,5 metres (2 to 5 ft) in height.",Echinops grows best in well drained soil and prefers a pH between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low
Emilia (Tassel Flower),"<p>Emilia, also known as Tassel Flower, is a genus of <strong>more than 100 species</strong> in the <strong>family Asteraceae</strong>, distributed mainly in tropical regions of the Old World.<br/>
Emilia has bright, tassel-like flowers appearing on its slender stems in summer and early fall. The flowers come in shades of purple, red and orange and are great for container gardens and fresh cut flower arrangements.</p>",Annuals,"The flowers come in shades of purple, red and orange.",3-10,"Autumn, Summer","These plants usually grow from 30 cm (1 ft) to 60 cm (2 ft), and possibly up to 90 cm (3 ft) tall, depending on species.","The plant is not fussy about soil pH, but the soil must be well drained.",Full sun,avarage,low
Epimedium (Barrenwort; Bishop's hat; Horny Goat Weed),"<p>Epimedium is a genus of <strong>about 60 species</strong> in the <strong>family Berberidaceae</strong>, native to Europe and Asia and distributed in areas around the Mediterranean Sea and Eastern Asia.<br/>
These shade-loving plants have charming, heart-shaped or arrowhead-shaped leaves and beautiful star-shaped flowers in various colors. Epimediums are long-lived perennials and good ground covers known for their toughness, strength and ability to compete with tree roots, which makes them a great choice for any shade garden.</p>",Perennials,"These flowers come in many stunning colors, including white, red, pink, purple, yellow and orange, as well as bi-colored varieties.",4-9,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) in height.,"Epimedium prefers rich and moist soil, with a pH between 5.5 to 7.0. However, it will adapt to a wide range of conditions and survive in nearly any shady location.","Partial sun, Shade",avarage,low
Epiphyllum (Orchid Cactus),"<p>Epiphyllum is a genus of <strong>about 15 species</strong> of epiphytic plants in the <strong>family Cactaceae</strong>, native to tropical and subtropical America.<br/>
The flowers are impressive in size, color and fragrance. Like all cacti, Epiphyllums have stems, but no leaves. They are often grown in hanging baskets to accommodate their leaf-like stems, but can also be grown in containers. In the wild, Epiphyllum grows between tree branches and into rock crevices. The genus includes one of the most expensive flowers in the world – Epiphyllum oxypetalum, also known as Kadupul or Queen of the Night.</p>",Cactus - Succulents,"The flowers are usually white, sometimes with yellow or pink sepals. However, most Epiphyllums grown today are hybrids and may be red, purple, pink, orange and yellow.",10-12,"Spring, Summer",Epiphyllum can reach 10 m (30 ft) in height.,"Epiphyllum prefers rich and well drained soil. For majority of plants, the ideal soil pH is slightly acidic with a pH range of 5.5 to 6.5.","Full sun, Partial sun",avarage,medium
Eranthis (Winter Aconite),"<p>Eranthis is a genus of <strong>about 10 species</strong> of tuberous perennials in the <strong>family Ranunculaceae</strong>, native to southern Europe and Asia.<br/>
These low-growing plants are among the most striking winter flowers and one of the earliest bulbs to bloom in spring, often appearing alongside Snowdrops. The cup-shaped flowers are yellow or white, distinct and quite unusual, supported by divided leafy bracts. They are easy to maintain and can survive snow and frost. These early-bloomers are great for beds and borders, and will look beautiful planted in large drifts under trees. They are suitable for rock gardens, cottage gardens and as a groundcover.</p>","Bulbs, Perennials","The flowers are yellow in most species, with some species being white flowered.",3-9,"Spring, Winter","These low growing plants can reach a maximum height of 20 cm (8 inches), but usually they are much smaller.","The plant is adaptable to a wide variety of soils, as long as they are well drained. It tolerates most types of soils including loam, clay, chalk and sand.","Full sun, Partial sun",avarage,low
Eremurus (Foxtail Lily; Desert Candle),"<p>Eremurus, commonly known as Foxtail Lily, is a genus of <strong>about 50 species</strong> of deciduous perennials in the <strong>family Asphodelaceae</strong>, native to Europe and temperate Asia.<br/>
Foxtail Lilies bloom from spring to midsummer, producing dense clusters of small star-shaped flowers on tall, erect stems. Their spectacular, rich, tall and slender clusters make them one of the most attractive bulbous plants that will add height and interest to the borders.</p>",Perennials,"Flower clusters are covered with orange, pink, yellow and white blossoms.",5-9,"Spring, Summer","Foxtail Lilies are tall plants that reach 2,5 metres (8ft) or less in height, depending on the species.","Eremurus prefers well drained soil that is acid, alkaline or neutral.",Full sun,avarage,low
Eryngium (Sea Holly),"<p>Eryngium, also known as Sea Holly, is a genus of <strong>about 250 species</strong> in the <strong>family Apiaceae</strong>, mostly native to Europe and the Mediterranean. Most species are perennials, but some are annuals.<br/>
The Sea Holly produces showy and attractive thistle-like flower heads surrounded by spiny silvery-blue bracts on strong stems. These sun loving plants will bloom in summer and attract butterflies and bees to your garden.</p>","Annuals, Perennials","Eryngiums are usually blue, purple, green or whitish.",3-9,"Autumn, Summer","They can range from 30 cm (1 ft) to 150 cm (5 ft) tall, depending on the species.","These plants need good drainage and plenty of sun. They are not particular about soil pH and will tolerate poor and sandy soils. The plant has a long taproot, which makes it drought tolerant.",Full sun,low,low
Erysimum (Wallflower),"<p>Erysimum is a genus of <strong>about 180 species</strong> of flowering plants in the <strong>family Brassicaceae</strong>, native to Europe, western Asia and North America.<br/>
Erysimum produces narrow, grey-green leaves and four-petalled, brightly colored and often fragrant blooms borne on long spikes. They make an excellent choice for your garden, flower bed or garden border.</p>","Annuals, Perennials, Shrubs","These flowers are usually yellow, but may also be red, orange and mauve.",6-10,"Spring, Autumn, Summer",Erysimum can grow up to 90 cm (3 ft) high.,"Erysimum prefers well drained soil, with a pH between 5.0 and 8.0.",Full sun,avarage,low
Erythronium (Fawn Lily),"<p>Erythronium is a genus of <strong>about 30 species</strong> of bulbous perennials in the <strong>family Liliaceae</strong>. Most of the species are native to North America, except Erythronium dens-canis which is native to Central and Southern Europe.<br/>
Members of this genus have attractive, pendent flowers and mottled leaves, often with bizarre colors or patterns. They are easy to grow and popular in gardens.</p>","Bulbs, Perennials","The flowers come in shades of yellow, purple, pink, red and white.",3-9,Spring,Erythronium can grow up to 60 cm (2 ft) in height.,"Erythronium grows best in moist and well drained soil. It is not fussy about soil pH, but is intolerant of dry conditions.",Partial sun,avarage,low
Eschscholzia (Golden Poppy),"<p>Eschscholzia is a genus of <strong>12 species</strong> of annuals and perennials in the <strong>family Papaveraceae</strong>, native to the United States and Mexico.<br/>
Most species have basal leaves and funnel shaped flowers consisted of four yellow or orange petals that grow at the end of the stem. They are beautiful, drought-tolerant and easy to maintain.</p>","Annuals, Perennials",Their color ranges from yellow to orange.,6-10,"Spring, Autumn, Winter, Summer","The plants grow up to 30 cm (1 ft) tall, but some species have been known to grow taller.","In general, these plants grow in a range of soils, but prefer loamy or clay soils. They thrive in well-drained, poor soils with relatively little organic matter, preferring neutral to slightly alkaline soils.",Full sun,low,low
Euphorbia (Spurge),"<p>Euphorbia, commonly known as Spurge, is a huge genus of <strong>more than 2000 species</strong> in the <strong>family Euphorbiaceae</strong>, native to all continents except Antarctica.<br/>
The genus is very diverse and includes species with very different characteristics. It contains annual and perennial herbs, as well as shrubs and trees species that can reach 20 meters in height, many of which are succulents and very drought tolerant. Spurges are popular for their unique floral structures – handsome, richly colored leaves and unusual flowers aggregated into an inflorescence or cluster of flowers known as a “cyathium”.</p>","Annuals, Cactus - Succulents, Perennials, Shrubs, Trees",The bracts come in almost every color imaginable. The real flowers are tiny and usually yellow in color.,4-11,"Spring, Autumn, Winter, Summer",The species range in size from 30 cm to 20 metres (1 ft to 66 ft) tall.,"Euphorbia prefers well drained soil. Even though they are not particular about soil pH, they grow easiest with a soil pH from 6.0 to 7.0.","Full sun, Partial sun",low,low
Eustoma (Lisianthus; Prairie Gentian),"<p>Eustoma is a genus of only <strong>three species</strong> in the <strong>Gentianaceae family</strong>, native to southern United States, Mexico, Caribbean and South America.<br/>
Eustoma, also known as Lisianthus or Prairie Gentian, can be annual or perennial, depending on where the plant is grown. The plant has large, beautiful and showy bell-shaped flowers in single or double-petal varieties.</p>","Annuals, Perennials","The flowers come in white, cream, blue, purple, pink and lilac.",8-11,"Autumn, Summer","Depending on the variety, Eustoma will grow from 15 cm (6 inches) to 80 cm (3 ft) in height.","The plant performs best in rich, moist and well drained soil, with a pH between 6.5 and 7.0.","Full sun, Partial sun",avarage,medium
Felicia (Blue Daisy; Marguerite Daisy),"<p>Felicia is a genus of <strong>about 80 species</strong> of annuals, perennials and small shrubs in the <strong>Asteraceae family</strong>. Most of them are native to southern Africa, where it can be found growing on the coastal dunes, rocky and sandy plains, gravelly slopes and basalt cliffs.<br/>
The plant has typical “daisy” flower heads, usually with showy, blue, white or purple petals and bright yellow centers. This eye-catching beauty has a long flowering season from spring to autumn. It attracts butterflies, bees, wasps, spiders and thrips.</p>","Annuals, Perennials, Shrubs","The flowers are blue, white, lilac or purple. Most of them have yellow centers, with the exception of the Felicia heterophylla which is all-blue in color.",8-11,"Spring, Autumn, Summer",The species can grow up to 50 cm (20 inches) in height.,Felicia grows in almost any well drained soil.,Full sun,avarage,low
Forsythia (Golden Bell),"<p>Forsythia is a genus of <strong>about 10 species</strong> of flowering plants in the <strong>family Oleaceae</strong>, native to East Asia.<br/>
These plants are long-lived, but fast growing deciduous shrubs. They produce clusters of bright yellow flowers which usually come before the leaves, adding a dramatic effect in early spring. When it rains, the flowers turn into a pendant shape and protect their reproductive parts.</p>",Shrubs,The flowers are yellow in color.,4-9,Spring,"Forsythia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","The soil should be moist, but well drained and rich in organic matter. Forsythia grows in low-acidic, neutral and even moderately alkaline soils.","Full sun, Partial sun",avarage,low
Freesia (Freesias),"<p>Freesia is a genus which contains <strong>approximately 20 species</strong> of herbaceous perennial plants in the <strong>family Iridaceae</strong>, native to Africa.<br/>
Their fragrant and bell-shaped blooms appear on one side of a 30 – 40 cm (1 ft) stem, called a scape. Because of their fragrance, Freesias are one of the most popular flowers in the world and usually grown for use as cut flowers.</p>","Bulbs, Perennials","Freesia comes in white, yellow, orange, red, pink, mauve, lavender and purple colors.",9-10,"Spring, Autumn, Summer",Freesia can grow up to 40 cm (1 ft) tall.,This plant likes moist and well drained soil.,"Full sun, Partial sun",avarage,low
Fritillaria (Checkered Lily; Snakes Head; Crown Imperial),"<p>Fritillaria is a genus of <strong>more than 100 species</strong> of herbaceous bulbous plants in the <strong>Liliaceae family</strong>, native to the northern hemisphere.<br/>
Tall and wiry stem bears a circle of pendant, colorful and showy bell-shaped flowers. It is an eye-catching, elegant plant that reaches a height of 1,5 metres. Fritillaria is useful in beds, borders, containers, rock gardens and also as a cut flower.</p>","Bulbs, Perennials","Fritillaria comes in variety of colors, from bright yellow to orange, green and deep red.",4-8,Spring,"Fritillaria can reach 30 cm to 1,5 metres (1-5 ft) in height, depending on variety.",The plant requires well drained soil.,"Full sun, Partial sun",avarage,low
Fuchsia (Lady's eardrop),"<p>Fuchsia is a genus of <strong>more than 100 species</strong> of deciduous or evergreen shrubs or small trees in the<strong> family Onagraceae</strong>, native to Central America and South America.<br/>
Fuchsia is greatly appreciated for its highly ornamental, attractive and usually pendant flowers in combinations of red, white, pink and purple. Today, fuchsia is one of the most cultivated ornamental plants in the world.</p>","Shrubs, Trees","Fuchsia develops white, yellow, orange, red and purple colored flowers, composed of red sepals and purple petals.",6-11,"Autumn, Summer","Fuchsia can grow from 15 cm (6 inches) to 15 metres (50 ft) in height, depending on species.","Fuchsia prefers moist, but well drained soil, with a pH between 5.5 and 6.5.","Full sun, Partial sun",avarage,low
Gaillardia (Blanket Flower),"<p>Gaillardia is a genus of <strong>about 25 species</strong> of mostly perennials in the <strong>family Asteraceae</strong>, native to Americas.<br/>
Gaillardia produces beautiful richly colored, daisy-like flowers. Each flower is composed of central disk florets surrounded by the colorful and much showier ray florets. The ray florets are usually flat, but tubular and trumpet shapes are also available. Gaillardias are valuable for their very long season of bloom. They are drought tolerant and easy to maintain. These sun-loving flowers will bloom continuously throughout the summer and fall and will add color and cheer to your garden!</p>","Annuals, Perennials","The flowers come in various shades of red, orange, yellow, purple and brown. The bicolor blooms are pretty intense.",2-10,"Autumn, Summer",Plants belonging to the Gaillardia genus range in height from 15 cm (6 inches) to 90 cm (3 ft).,"These plants grow best in moist and well drained soil, with a pH between 5.5 and 7.0. However, they will tolerate drought, heat, poor and sandy soils, but heavy clay soil will probably kill them.",Full sun,low,low
Galanthus (Snowdrops),"<p>Galanthus, commonly known as Snowdrop, is a genus of <strong>about 20 species</strong> of bulbous plants in the <strong>family Amaryllidaceae</strong>, native to Europe and the Middle East.<br/>
These early spring emblems are one of the first bulbs to bloom in spring. Snowdrops are famous for their white, bell-shaped flowers which hang down loosely, giving the impression of modesty.</p>","Bulbs, Perennials","Unlike many other flowers, Galanthus only comes in one color - creamy white.",3-9,"Spring, Winter",These tiny flowers grow up to 25 cm (10 inches) high.,Galanthus prefers moist and well drained soil of pH 6.0 to 8.0.,"Full sun, Partial sun",avarage,low
Gardenia (Gardenia),"<p>Gardenia is a genus of <strong>about 140 species</strong> of evergreen shrubs and small trees. It is a member of the <strong>Rubiaceae family</strong> and is native to the tropical and subtropical regions of Asia, Australasia, Oceania and Africa.<br/>
These plants are famous for their waxy, highly fragrant, white or cream flowers and deep, glossy green leaves. They will add charm, color and fragrance to your garden. Garden visitors, as well as pollinators, will enjoy their beautiful scented blooms!</p>","Shrubs, Trees","The most of them are white (or a related color like ivory or cream), but some of them are yellow.",6-11,"Spring, Summer","Gardenia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species.","Gardenia likes moist, but well drained soil. The ideal soil pH is between 5.0 and 6.0.","Full sun, Partial sun",avarage,hard
Gazania (Treasure Flower),"<p>Gazania is a genus of <strong>about 20 species</strong> in the <strong>family Asteraceae</strong>, native to southern Africa.<br/>
Gardeners love them for their large, unique patterned, daisy-like flowers in a wide variety of colors. The blooms, as with all the members of the daisy family, are actually flower heads composed of disk florets at the centre. These plants are considered annuals in the cool climates, but in warmer climates they are short-lived perennials. They are vibrant, drought tolerant and easy to maintain. It is always such a delight when they pop into bloom!</p>","Annuals, Perennials","The flowers come in shades of yellow, orange, pink, red and white. The colors of the petals are bright and unique.",8-11,"Spring, Autumn, Winter",The plant grows up to 30 cm (1 ft) high.,"Gazania will grow best in well-drained soil in full sun, with a pH level between 5.5 and 7.0.",Full sun,low,low
Gentiana (Gentian),"<p>Gentiana is a large genus of <strong>about 400 species</strong> in the <strong>family Gentianaceae</strong>, distributed around the world. These plants grow in a wide variety of habitats and occur on all continents except the Antarctica.<br/>
They have trumpet-shaped, bright colored flowers on short stalks. The flowers have 4 or 5 sepals and also the same number of stamens and petals. They are great for cut flowers and flower arrangements.</p>","Annuals, Perennials","Most of the species have beautiful, vivid blue flowers, but white, yellow, purple and red varieties are also available.",3-9,"Spring, Autumn, Summer",These plants range from dwarf species just 5 cm (2 inches) tall to the larger varieties that grow up to 90 cm (3 ft) in height.,"Gentiana will grow best in rich, moist and well drained soil, with a pH level between 5.0 and 7.5.","Full sun, Partial sun",avarage,low
Geranium (Cranesbills),"<p>Geranium, also known as Cranesbills, is a genus of<strong> more than 400 species</strong> of flowering plants that range in size, shape and color. Geranium belongs to the <strong>Geraniaceae family</strong> and is found widely throughout the temperate regions of the world or in high tropical areas.<br/>
Most of these species have fanciful, aromatic foliage and saucer-shaped, radially symmetric flowers with five separate petals. These eye-catching plants are one of the most popular plants today widely used in beds, borders and containers. They are easy to grow and will typically bloom from spring to autumn.</p>","Annuals, Perennials","The flowers come in shades of white, red, blue, purple and pink.",2-10,"Spring, Autumn, Summer",These plants grow between 15 and 120 cm (6 inches to 4 ft) in height.,Geranium will grow in almost any kind of soil. The ideal soil pH should be mildly acidic.,"Full sun, Partial sun",avarage,low
Gerbera (Gerbera),"<p>Gerbera is a genus of <strong>about 40 species</strong> of flowering plants in the <strong>daisy family (Asteraceae)</strong>, native to tropical Asia and Africa.<br/>
These perennials bear a large capitulum with ray florets in various colors. The flower head is actually huge cluster of hundreds of tinier flowers making the flower head we used to know. Gerberas are beautiful indoor plants and one of the most popular cut flowers. Their large size and bright colors make them extremely attractive.</p>",Perennials,"These flowers come in many different colors, except for blue.",8-11,"Spring, Autumn, Summer",The species are 20 to 45 cm (8-18 inches) tall. The flower heads vary from 7 to 12 centimeters (3 to 5 inches) in diameter.,"Gerberas prefer rich and well drained soil, with lots of added organic matter. They grow best in a slightly acidic soil with a pH of 5.5 - 6.5.","Full sun, Partial sun",avarage,low
Geum (Avens),"<p>Geum is a genus of <strong>about 50 species</strong> in the <strong>family Rosaceae</strong>, widely distributed across the temperate regions of the world.<br/>
Geum is a wonderful versatile plant that blooms in spring and summer. Also known as Avens, this perennial produces beautiful single or double flowers in a wide range of colors. The vibrant, brightly colored blooms are held above the foliage on erect, wiry stems, giving them a delicate, airy appearance. Geums are suitable for borders and rock gardens, but can be grown in containers as well. They are excellent in potted arrangements and make great cut flowers.</p>",Perennials,"Geum comes in various colors including white, yellow, orange, pink and red.",3-9,"Spring, Summer",The plant grows up to 60 cm (2 ft) tall.,"Geums prefer rich, moist and well drained soil, with a pH level between 5.5 and 7.0.","Full sun, Partial sun",avarage,low
Gladiolus (Gladiola; Sword lily),"<p>Gladiolus, sometimes called Sword lily, is a genus of <strong>around 300 species</strong> in the <strong>family of Iridaceae</strong>. Most of them are native to sub-Saharan Africa and around 10 species are native to Eurasia.<br/>
These perennials produce narrow, blade-shaped leaves and attractive fragrant flowers on tall spikes . They are available in a wide range of colors and are popular both as garden flowers and cut flowers.</p>","Bulbs, Perennials","The flowers range from white, yellow, pink and lavender to red, purple and even green.",2-10,"Spring, Autumn, Summer",Gladiolus grows between 60 to 180 cm (2 to 6 ft) in height.,"These plants prefer moist and well drained soil, with a pH between 6.0 and 7.0.",Full sun,avarage,low
Gloriosa (Flame Lily),"<p>Gloriosa is a genus of <strong>about 10 species</strong> in the <strong>family Colchicaceae</strong>, native to tropical Africa and Asia. They are classified as perennials, but are usually treated as half-hardy annuals.<br/>
They are known for their attractive, exotic-looking flowers that bloom from late spring to fall. These eye-catching climbers deserve pride of place in any garden with their vivid colors and distinctive shape. If you are looking for something special for your garden or home, or are finding it hard to find a particular plant that you’ve always wanted, Gloriosa is a perfect plant for you!</p>","Annuals, Bulbs, Climbers, Perennials","The flowers come in shades of red, orange, pink and yellow.",8-11,"Spring, Autumn, Summer","Gloriosa usually grows to about 3 m (10 ft), but sometimes reaches more than 3 m (10 ft) in height and requires a trellis or wall to climb on. Some species, such as Gloriosa lutea (Gloriosa Lily), are smaller in size.","The plant prefers rich, well-drained soil that retains moisture. It will perform best in neutral to alkaline soil ranging from 5.8 to 6.5 on the pH scale.","Full sun, Partial sun",avarage,medium
Gomphrena (Gomphrena),"<p>Gomphrena is a genus of <strong>more than 100 species</strong> of flowering plants in the <strong>family Amaranthaceae</strong>, distributed throughout the warm temperate, subtropical and tropical regions of the world.<br/>
The genus includes low-growing annuals and perennials that bloom in shades of white, yellow, pink, orange, red and purple. Some of the species are used as medicinal plants and a few are cultivated as ornamentals. These plants are drought tolerant and easy to grow. They are suitable for beds, borders, pots and window boxes, and are great for fresh-cut and dried floral arrangements.</p>","Annuals, Perennials","The flowers come in various colors including white, yellow, pink, orange, red and purple.",2-11,"Spring, Autumn, Summer","These beautiful plants can reach up to 90 cm (3 ft) in height, but most of the species are smaller than that.",The plant is not fussy about the soil type as long as it is well drained. It grows best in full sun and is tolerant of dry soil and humidity.,Full sun,avarage,low
Grevillea (Spider Flower; Silky Oak),"<p>Grevillea is a genus of <strong>about 350 species</strong> of flowering plants in the <strong>Proteaceae family</strong>, primarily native to Australia.<br/>
They are highly valued for their exotically shaped, vividly colored and nectar-rich flowers. Their flowerheads, which open at varying times, are composed of many small flowers that come in a wide range of colors. These unique evergreen plants come in all shapes and sizes and have an extremely long season of bloom. They are often cultivated in ornamental purposes.</p>","Shrubs, Trees","Grevillea may be red, yellow, orange, purple and white.",9-11,"Spring, Autumn, Winter, Summer",The species range from small shrubs around 50 cm (20 inches) high to large trees up to 35 metres (115 ft) tall.,"Grevillea grows in all types of soil, but prefers well-drained soil.","Full sun, Partial sun",low,low
Gypsophila (Baby's Breath),"<p>Gypsophila is a genus in the <strong>Caryophyllaceae family</strong>, containing <strong>about 100 species</strong> of annuals and perennials native to Eurasia, Africa and Australia.<br/>
Plants in the Gypsophila genus have lance-shaped leaves and numerous tiny white or pink flowers that typically grow on tall stems. They are often grown for decorative purposes and are commonly used as a cut flower to give a delicate look in arrangements and bouquets.</p>","Annuals, Perennials",The plants have small white or pink flowers.,3-9,"Spring, Summer",Gypsophila range in size from 15 cm (6 inches) to 1 m (30 ft) tall.,"Gypsophila tolerates any kind of soil, but good drainage is essential.  Some species prefer calcium-rich, alkaline soils.",Full sun,low,low
Hamamelis (Witch Hazel),"<p>Hamamelis, also known as Witch Hazel, is a genus of <strong>only a few species</strong> in the <strong>family Hamamelidaceae</strong>, native to Eastern Asia and North America.<br/>
The genus contains deciduous shrubs and small trees, growing up to 8 m (26 ft) tall. This plant produces simple oval leaves and spider-like flowers arranged in clusters. Flowers have spicy fragrance and are borne on bare stems from autumn to early spring. Hamamelis is extremely frost resistant, subtle in color and very delicate in form, adding interest to the winter garden.</p>","Shrubs, Trees",Hamamelis flowers range in color from deep red to yellow.,3-9,"Spring, Autumn, Winter","The plant grows between 150 cm (5 ft) and 8 m (26 ft) in height, depending on the species.","Hamamelis likes fertile, moist and well drained soil, with a ph between 4.5. and 7.0. It tolerates deep soils over chalk.","Full sun, Partial sun",avarage,low
